AtBat,Hits,HmRun,Runs,RBI,Walks,Years,CAtBat,CHits,CHmRun,CRuns,CRBI,CWalks,PutOuts,Assists,Errors,Salary
315,81,7,24,38,39,14,3449,835,69,321,414,375,632,43,10,475
479,130,18,66,72,76,3,1624,457,63,224,266,263,880,82,14,480
496,141,20,65,78,37,11,5628,1575,225,828,838,354,200,11,3,500
321,87,10,39,42,30,2,396,101,12,48,46,33,805,40,4,91.5
594,169,4,74,51,35,11,4408,1133,19,501,336,194,282,421,25,750
185,37,1,23,8,21,2,214,42,1,30,9,24,76,127,7,70
298,73,0,24,24,7,3,509,108,0,41,37,12,121,283,9,100
323,81,6,26,32,8,2,341,86,6,32,34,8,143,290,19,75
401,92,17,49,66,65,13,5206,1332,253,784,890,866,0,0,0,1100
574,159,21,107,75,59,10,4631,1300,90,702,504,488,238,445,22,517.143
202,53,4,31,26,27,9,1876,467,15,192,186,161,304,45,11,512.5
418,113,13,48,61,47,4,1512,392,41,205,204,203,211,11,7,550
239,60,0,30,11,22,6,1941,510,4,309,103,207,121,151,6,700
196,43,7,29,27,30,13,3231,825,36,376,290,238,80,45,8,240
568,158,20,89,75,73,15,8068,2273,177,1045,993,732,105,290,10,775
190,46,2,24,8,15,5,479,102,5,65,23,39,102,177,16,175
127,32,8,16,22,14,8,727,180,24,67,82,56,202,22,2,135
413,92,16,72,48,65,1,413,92,16,72,48,65,280,9,5,100
426,109,3,55,43,62,1,426,109,3,55,43,62,361,22,2,115
472,116,16,60,62,74,6,1924,489,67,242,251,240,518,55,3,600
629,168,18,73,102,40,18,8424,2464,164,1008,1072,402,1067,157,14,776.667
587,163,4,92,51,70,6,2695,747,17,442,198,317,434,9,3,765
324,73,4,32,18,22,7,1931,491,13,291,108,180,222,3,3,708.333
474,129,10,50,56,40,10,2331,604,61,246,327,166,732,83,13,750
550,152,6,92,37,81,5,2308,633,32,349,182,308,262,329,16,625
513,137,20,90,95,90,14,5201,1382,166,763,734,784,267,5,3,900
419,108,6,55,36,22,3,591,149,8,80,46,31,226,7,4,110
583,168,17,83,80,56,5,1646,452,44,219,208,136,109,292,25,612.5
204,49,6,23,25,12,7,1309,308,27,126,132,66,419,46,5,300
379,106,10,38,60,30,14,6207,1906,146,859,803,571,72,170,24,850
268,60,5,24,25,15,2,350,78,5,34,29,18,442,59,6,90
181,41,1,15,21,33,2,232,50,4,20,29,45,326,29,5,67.5
217,46,7,32,19,9,4,694,160,32,86,76,32,307,25,1,180
254,68,2,28,26,22,6,999,236,21,108,117,118,359,30,4,305
416,132,7,57,49,33,3,932,273,24,113,121,80,73,177,18,215
205,57,8,34,32,9,5,756,192,32,117,107,51,58,4,4,247.5
457,101,14,42,63,22,17,6521,1767,281,1003,977,619,389,39,4,875
214,53,2,30,29,23,2,226,59,2,32,32,27,109,7,3,70
591,168,19,80,72,39,9,4478,1307,113,634,563,319,67,147,4,1200
403,101,12,45,53,39,12,5150,1429,166,747,666,526,316,6,5,675
405,102,18,49,85,20,6,950,231,29,99,138,64,161,10,3,415
244,58,9,28,25,35,4,1335,333,49,164,179,194,142,14,2,340
313,78,6,32,41,12,12,3742,968,35,409,321,170,106,206,7,416.667
627,177,25,98,81,70,6,3210,927,133,529,472,313,240,482,13,1350
416,113,24,58,69,16,1,416,113,24,58,69,16,203,70,10,90
155,44,6,21,23,15,16,6631,1634,98,698,661,777,53,88,3,275
236,56,0,27,15,11,4,1115,270,1,116,64,57,125,199,13,230
216,53,1,31,15,22,4,926,210,9,118,69,114,73,152,11,225
585,139,31,93,94,62,17,7546,1982,315,1141,1179,727,0,0,0,950
199,53,5,29,22,21,3,514,120,8,57,40,39,152,3,5,75
521,142,20,67,86,45,4,815,205,22,99,103,78,107,242,23,105
311,81,3,42,30,26,17,8247,2198,100,950,909,690,153,223,10,320
512,131,26,69,96,52,14,5347,1397,221,712,815,548,119,216,12,850
507,122,29,78,85,91,18,7761,1947,347,1175,1152,1380,808,108,2,535
529,137,26,86,97,97,15,6661,1785,291,1082,949,989,280,10,5,933.333
424,119,6,57,46,13,9,3651,1046,32,461,301,112,224,286,8,850
351,97,4,55,29,39,4,1258,353,16,196,110,117,226,7,3,210
388,103,15,59,47,39,6,2174,555,80,285,274,186,182,9,4,325
339,96,4,37,29,23,4,1064,290,11,123,108,55,104,213,9,275
255,70,7,49,35,43,15,6311,1661,154,1019,608,820,51,54,8,450
677,238,31,117,113,53,5,2223,737,93,349,401,171,1377,100,6,1975
614,163,29,89,83,75,11,5017,1388,266,813,822,617,303,6,6,1900
329,83,9,50,39,56,9,3828,948,145,575,528,635,276,6,2,600
637,174,31,89,116,56,14,6727,2024,247,978,1093,495,278,9,9,1041.667
280,82,16,44,45,47,2,428,113,25,61,70,63,148,4,2,110
155,41,12,21,29,22,16,5409,1338,181,746,805,875,165,9,1,260
458,114,13,67,57,48,4,1350,298,28,160,123,122,246,389,18,475
314,83,13,39,46,16,5,1457,405,28,156,159,76,533,40,4,431.5
475,123,27,76,93,72,4,1810,471,108,292,343,267,226,10,6,1220
317,78,7,35,35,32,1,317,78,7,35,35,32,45,122,26,70
511,138,25,76,96,61,3,592,164,28,87,110,71,157,7,8,145
382,119,13,54,58,36,12,2133,594,41,287,294,227,59,156,9,595
565,148,24,90,104,77,14,7287,2083,305,1135,1234,791,292,9,5,1861.46
415,115,27,97,71,68,3,711,184,45,156,119,99,274,2,7,300
424,110,15,70,47,36,7,2130,544,38,335,174,258,292,6,3,490
495,151,17,61,84,78,10,5624,1679,275,884,1015,709,1045,88,13,2460
233,49,2,41,23,18,8,1350,336,7,166,122,106,102,132,10,375
566,154,22,76,84,43,14,6100,1583,131,743,693,300,316,439,10,750
641,198,31,101,108,41,5,2129,610,92,297,319,117,269,17,10,1175
215,51,4,19,18,11,1,215,51,4,19,18,11,116,5,12,70
441,128,16,70,73,80,14,6675,2095,209,1072,1050,695,97,218,16,1500
325,76,16,33,52,37,5,1506,351,71,195,219,214,726,87,3,385
490,125,24,81,105,62,13,6063,1646,271,847,999,680,869,62,8,1925.571
574,152,31,91,101,64,3,985,260,53,148,173,95,1253,111,11,215
596,171,34,91,108,52,6,2862,728,107,361,401,224,118,334,21,900
472,118,12,63,54,30,4,793,187,14,102,80,50,228,377,26,155
283,77,14,45,47,26,16,6840,1910,259,915,1067,546,144,6,5,700
408,94,4,42,36,66,9,3573,866,59,429,365,410,282,487,19,535
327,85,3,30,44,20,8,2140,568,16,216,208,93,91,185,12,362.5
370,96,21,49,46,60,15,6986,1972,231,1070,955,921,137,5,9,733.333
354,77,16,36,55,41,20,8716,2172,384,1172,1267,1057,83,174,16,200
539,139,5,93,58,69,5,1469,369,12,247,126,198,462,9,7,400
340,84,11,62,33,47,5,1516,376,42,284,141,219,185,8,4,400
510,126,2,42,44,35,11,5562,1578,44,703,519,256,207,358,20,737.5
282,78,13,37,51,29,5,1649,453,73,211,280,138,670,57,5,500
380,120,5,54,51,31,8,3118,900,92,444,419,240,237,8,1,600
584,158,15,70,84,42,5,2358,636,58,265,316,134,331,20,4,662.5
570,169,21,72,88,38,7,3754,1077,140,492,589,263,295,15,5,950
306,104,14,50,58,25,7,2954,822,55,313,377,187,116,222,15,750
220,54,10,30,39,31,5,1185,299,40,145,154,128,50,136,20,297.5
278,70,7,22,37,18,18,7186,2081,190,935,1088,643,0,0,0,325
445,99,1,46,24,29,4,618,129,1,72,31,48,278,415,16,87.5
143,39,5,18,30,15,9,639,151,16,80,97,61,138,15,1,175
185,40,4,23,11,18,3,524,125,7,58,37,47,97,2,2,90
589,170,40,107,108,69,6,2325,634,128,371,376,238,368,20,3,1237.5
343,103,6,48,36,40,15,4338,1193,70,581,421,325,211,56,13,430
438,103,2,65,32,71,2,440,103,2,67,32,71,276,7,9,100
600,144,33,85,117,65,2,696,173,38,101,130,69,319,4,14,165
663,200,29,108,121,32,4,1447,404,57,210,222,68,241,8,6,250
232,55,9,34,23,45,12,4405,1213,194,702,705,625,623,35,3,1300
479,133,10,48,72,55,17,7472,2147,153,980,1032,854,237,5,4,773.333
528,132,21,61,74,41,6,2641,671,97,273,383,226,885,105,8,1008.333
160,39,8,18,31,22,14,2128,543,56,304,268,298,33,3,0,275
599,183,10,80,74,32,5,2482,715,27,330,326,158,231,374,18,775
497,136,7,58,38,26,11,3871,1066,40,450,367,241,304,347,10,850
210,70,13,32,51,28,15,4040,1130,97,544,462,551,0,0,0,365
151,41,4,26,21,19,2,288,68,9,45,39,35,28,56,2,95
278,86,4,33,38,45,1,278,86,4,33,38,45,102,4,2,110
341,95,6,48,42,20,10,2964,808,81,379,428,221,158,4,5,100
537,147,23,58,88,47,10,2744,730,97,302,351,174,92,257,20,277.5
399,102,3,56,34,34,5,670,167,4,89,48,54,211,9,3,80
309,94,5,37,32,26,13,4618,1330,57,616,522,436,161,3,3,600
616,163,27,83,107,32,3,1437,377,65,181,227,82,110,308,15,200
579,174,7,67,78,58,6,3053,880,32,366,337,218,280,479,5,657
165,39,2,13,9,16,3,196,44,2,18,10,18,332,19,2,75
618,200,20,98,110,62,13,7127,2163,351,1104,1289,564,330,16,8,2412.5
257,66,5,31,26,32,14,3910,979,33,518,324,382,87,166,14,250
315,76,13,35,60,25,3,630,151,24,68,94,55,498,39,13,155
591,157,16,90,78,26,4,2020,541,52,310,226,91,290,440,25,640
404,92,11,54,49,18,6,1354,325,30,188,135,63,222,5,5,300
315,73,5,23,37,16,4,450,108,6,38,46,28,227,15,3,110
429,91,12,41,42,57,13,5590,1397,83,578,579,644,686,46,4,825
453,101,3,46,43,61,3,948,218,6,96,72,91,249,444,16,195
184,47,5,20,28,18,11,3327,890,74,419,382,304,49,2,0,450
591,184,20,83,79,38,5,1689,462,40,219,195,82,303,12,5,630
181,58,6,34,23,22,1,181,58,6,34,23,22,88,0,3,86.5
441,118,28,84,86,68,8,2723,750,126,433,420,309,190,2,2,1300
490,150,21,69,58,35,14,6126,1839,121,983,707,600,96,5,3,1000
551,171,13,94,83,94,13,6090,1840,128,969,900,917,1199,149,5,1800
550,147,29,85,91,71,6,2816,815,117,405,474,319,1218,104,10,1310
283,74,4,34,29,22,10,3919,1062,85,505,456,283,145,5,7,737.5
560,161,26,89,96,66,4,1789,470,65,233,260,155,332,9,8,625
328,91,12,51,43,33,2,342,94,12,51,44,33,145,59,8,125
586,159,12,72,79,53,9,3082,880,83,363,477,295,181,13,4,1043.333
503,136,5,62,48,83,10,3423,970,20,408,303,414,65,258,8,725
344,85,24,69,64,88,7,911,214,64,150,156,187,0,0,0,300
680,223,31,119,96,34,3,1928,587,35,262,201,91,429,8,6,365
279,64,0,31,26,30,1,279,64,0,31,26,30,107,205,16,75
484,127,20,66,65,67,7,3006,844,116,436,458,377,1231,80,7,1183.333
431,127,8,77,45,58,2,667,187,9,117,64,88,283,8,3,202.5
283,70,8,33,37,27,12,4479,1222,94,557,483,307,156,2,2,225
491,141,11,77,47,37,15,4291,1240,84,615,430,340,239,8,2,525
199,52,9,26,28,21,6,805,191,30,113,119,87,235,22,5,265
589,149,21,89,86,64,7,3558,928,102,513,471,351,371,6,6,787.5
327,84,22,53,62,38,10,4273,1123,212,577,700,334,483,48,6,800
464,128,28,67,94,52,13,5829,1552,210,740,840,452,0,0,0,587.5
338,92,18,42,60,21,3,682,185,36,88,112,50,0,0,0,145
584,157,20,95,73,63,10,4704,1320,93,724,522,576,276,421,11,420
216,54,2,27,25,33,1,216,54,2,27,25,33,317,36,1,75
625,179,4,94,60,65,5,1696,476,12,216,163,166,303,450,14,575
489,131,19,77,55,34,7,2051,549,62,300,263,153,310,9,9,780
209,56,12,22,36,19,2,216,58,12,24,37,19,201,6,3,90
407,93,8,47,30,30,2,969,230,14,121,69,68,172,317,25,150
490,148,14,64,78,49,13,3400,1000,113,445,491,301,0,0,0,700
442,131,18,68,77,33,6,1416,398,47,210,203,136,233,7,7,550
288,65,8,30,36,27,9,2815,698,55,315,325,189,259,30,10,650
209,54,3,25,14,12,1,209,54,3,25,14,12,102,6,3,68
303,71,3,18,30,36,3,344,76,3,20,36,45,468,47,6,100
330,77,19,47,53,27,6,1928,516,90,247,288,161,149,8,6,670
504,120,28,71,71,54,3,1085,259,54,150,167,114,103,283,19,175
258,60,8,28,33,18,3,638,170,17,80,75,36,358,32,8,137
20,1,0,0,0,0,2,41,9,2,6,7,4,78,220,6,2127.333
374,94,5,36,26,62,7,1968,519,26,181,199,288,756,64,15,875
211,43,10,26,35,39,3,498,116,14,59,55,78,463,32,8,120
299,75,6,38,23,26,3,580,160,8,71,33,44,212,1,2,140
576,167,8,89,49,57,4,822,232,19,132,83,79,325,12,8,210
381,110,9,61,45,32,7,3015,834,40,451,249,168,228,7,5,800
288,76,7,34,37,15,4,1644,408,16,198,120,113,203,3,3,240
369,93,9,43,42,49,5,1258,323,54,181,177,157,149,1,6,350
547,137,2,58,47,12,2,1038,271,3,129,80,24,261,459,22,175
572,152,18,105,49,65,2,978,249,36,168,91,101,325,13,3,200
514,144,0,67,54,79,9,4739,1169,13,583,374,528,229,453,15,1940
359,80,15,45,48,63,7,1493,359,61,176,202,175,682,93,13,700
526,163,12,88,50,77,4,1556,470,38,245,167,174,250,11,1,750
313,83,9,43,41,30,14,5885,1543,104,751,714,535,58,141,23,450
540,135,30,82,88,55,1,540,135,30,82,88,55,157,6,14,172
437,123,9,62,55,40,9,4139,1203,79,676,390,364,82,170,15,1260
237,52,0,15,25,30,24,14053,4256,160,2165,1314,1566,523,43,6,750
236,56,6,41,19,21,5,1257,329,24,166,125,105,172,1,4,190
473,154,6,61,48,29,6,1966,566,29,250,252,178,846,84,9,580
309,72,0,33,31,26,5,354,82,0,41,32,26,117,269,12,130
271,77,5,35,29,33,12,4933,1358,48,630,435,403,62,90,3,450
357,96,7,50,45,39,5,1394,344,43,178,192,136,167,2,4,300
216,56,4,22,18,15,12,2796,665,43,266,304,198,391,44,4,250
256,70,13,42,36,44,16,7058,1845,312,965,1128,990,41,118,8,1050
466,108,33,75,86,72,3,652,142,44,102,109,102,286,8,8,215
327,68,13,42,29,45,18,3949,939,78,438,380,466,659,53,7,400
341,110,9,45,49,46,9,2331,658,50,249,322,274,251,9,4,560
608,160,28,130,74,89,8,4071,1182,103,862,417,708,426,4,6,1670
419,101,18,65,58,92,20,9528,2510,548,1509,1659,1342,0,0,0,487.5
376,82,21,42,60,35,5,1770,408,115,238,299,157,0,0,0,425
486,145,11,51,76,40,11,3967,1102,67,410,497,284,88,204,16,500
246,76,5,35,39,13,6,912,234,12,102,96,80,44,0,1,250
205,52,8,31,27,17,12,5134,1323,56,643,445,459,155,3,2,400
348,90,11,50,45,43,10,2288,614,43,295,273,269,60,176,6,450
523,135,8,52,44,52,9,3368,895,39,377,284,296,367,475,19,750
312,68,2,32,22,24,1,312,68,2,32,22,24,86,150,15,70
496,119,8,57,33,21,7,3358,882,36,365,280,165,155,371,29,875
126,27,3,8,10,5,4,239,49,3,16,13,14,190,2,9,190
275,68,5,42,42,61,6,961,238,16,128,104,172,181,3,2,191
627,178,14,68,76,46,6,3146,902,74,494,345,242,309,492,5,740
394,86,1,38,28,36,4,1089,267,3,94,71,76,203,369,16,250
208,57,8,32,25,18,3,653,170,17,98,54,62,42,94,13,140
382,101,16,50,55,22,1,382,101,16,50,55,22,200,7,6,97.5
459,113,20,59,57,68,12,5348,1369,155,713,660,735,0,0,0,740
549,149,7,73,47,42,1,549,149,7,73,47,42,255,450,17,140
288,63,3,25,33,16,10,2682,667,38,315,259,204,135,257,7,341.667
522,163,9,82,46,62,13,7037,2019,153,1043,827,535,352,9,1,1000
512,117,29,54,88,43,6,1750,412,100,204,276,155,1236,98,18,100
220,66,5,20,28,13,3,290,80,5,27,31,15,281,21,3,90
522,140,16,73,77,60,4,730,185,22,93,106,86,1320,166,17,200
461,112,18,54,54,35,2,680,160,24,76,75,49,111,226,11,135
581,145,17,66,68,21,2,831,210,21,106,86,40,320,465,32,155
530,159,3,82,50,47,6,1619,426,11,218,149,163,196,354,15,475
557,142,21,58,81,23,18,8759,2583,271,1138,1299,478,1160,53,7,1450
439,96,0,44,36,65,4,711,148,1,68,56,99,229,406,22,150
453,103,8,53,33,52,2,507,123,8,63,39,58,289,407,6,105
528,122,1,67,45,51,4,1716,403,12,211,146,155,209,372,17,350
633,210,6,91,56,59,6,3070,872,19,420,230,274,367,432,16,90
562,169,17,88,73,53,8,3181,841,61,450,342,373,351,442,17,530
281,76,3,42,25,20,8,2658,657,48,324,300,179,106,144,7,341.667
593,152,23,69,75,53,6,2765,686,133,369,384,321,315,10,6,940
687,213,10,91,65,27,4,1518,448,15,196,137,89,294,445,13,350
368,103,3,48,28,54,8,1897,493,9,207,162,198,209,246,3,326.667
263,70,1,26,23,30,4,888,220,9,83,82,86,81,147,4,250
642,211,14,107,59,52,5,2364,770,27,352,230,193,337,19,4,740
265,68,8,26,30,29,7,1337,339,32,135,163,128,92,5,3,425
559,141,2,48,61,73,8,3162,874,16,421,349,359,352,414,9,925
520,120,17,53,44,21,4,927,227,22,106,80,52,70,144,11,185
19,4,1,2,3,1,1,19,4,1,2,3,1,692,70,8,920
205,43,2,24,17,20,7,854,219,12,105,99,71,131,6,1,286.667
193,47,10,21,29,24,6,1136,256,42,129,139,106,299,13,5,245
213,61,4,17,22,3,17,4061,1145,83,488,491,244,178,45,4,235
510,147,10,56,52,53,7,2872,821,63,307,340,174,810,99,18,1150
578,138,1,56,59,34,3,1399,357,7,149,161,87,133,371,20,160
441,113,5,76,52,76,5,1546,397,17,226,149,191,160,290,11,425
172,42,3,17,14,15,10,4086,1150,57,579,363,406,65,0,0,900
127,32,4,14,25,12,19,8396,2402,242,1048,1348,819,167,18,6,500
279,69,4,35,31,32,4,1359,355,31,180,148,158,133,173,9,277.5
480,112,18,50,71,44,7,3031,771,110,338,406,239,94,270,16,750
600,139,0,94,29,60,2,1236,309,1,201,69,110,300,12,9,160
610,186,19,107,98,74,6,2728,753,69,399,366,286,1182,96,13,1300
360,81,5,37,44,37,7,2268,566,41,279,257,246,170,284,3,525
387,124,1,67,27,36,7,1775,506,6,272,125,194,186,290,17,550
580,207,8,107,71,105,5,2778,978,32,474,322,417,121,267,19,1600
408,117,11,66,41,34,1,408,117,11,66,41,34,942,72,11,120
593,172,22,82,100,57,1,593,172,22,82,100,57,1222,139,15,165
497,127,7,65,48,37,5,2703,806,32,379,311,138,325,9,3,700
492,136,5,76,50,94,12,5511,1511,39,897,451,875,313,381,20,875
475,126,3,61,43,52,6,1700,433,7,217,93,146,37,113,7,385
573,144,9,85,60,78,8,3198,857,97,470,420,332,1314,131,12,960
631,170,9,77,44,31,11,4908,1457,30,775,357,249,408,4,3,1000
